locality,postal_code,district,province,province_int,region,region_int,district_int,ratio_free_build
Saint-Gilles,1060,Bruxelles-Capitale,bruxelles-capitale,3,bruxelles-capitale,2,30,-3.458745080839866
Molenbeek-Saint-Jean,1080,Bruxelles-Capitale,bruxelles-capitale,3,bruxelles-capitale,2,30,-3.036240582144672
Ganshoren,1083,Bruxelles-Capitale,bruxelles-capitale,3,bruxelles-capitale,2,30,-3.1290928968687233
Bruxelles,1120,Bruxelles-Capitale,bruxelles-capitale,3,bruxelles-capitale,2,30,-2.581414936244784
Wavre,1300,Nivelles,brabant-wallon,8,wallonie,1,4,-2.9218088410811247
Wavre,1301,Nivelles,brabant-wallon,8,wallonie,1,4,-2.9218088410811247
Beauvechain,1320,Nivelles,brabant-wallon,8,wallonie,1,4,-1.8218111190892874
Ottignies-Louvain-la-Neuve,1340,Nivelles,brabant-wallon,8,wallonie,1,4,-2.670084035741534
Ottignies-Louvain-la-Neuve,1348,Nivelles,brabant-wallon,8,wallonie,1,4,-2.670084035741534
Orp-Jauche,1350,Nivelles,brabant-wallon,8,wallonie,1,4,-1.75001510626352
Hélécine,1357,Nivelles,brabant-wallon,8,wallonie,1,4,-1.6364234387896852
Ramillies,1367,Nivelles,brabant-wallon,8,wallonie,1,4,-1.616334573907662
Grez-Doiceau,1390,Nivelles,brabant-wallon,8,wallonie,1,4,-2.2314836577553936
Braine-l'Alleud,1420,Nivelles,brabant-wallon,8,wallonie,1,4,-2.6454629655921007
Braine-le-Château,1440,Nivelles,brabant-wallon,8,wallonie,1,4,-2.545526954436051
Chastre,1450,Nivelles,brabant-wallon,8,wallonie,1,4,-2.0417026984240287
Walhain,1457,Nivelles,brabant-wallon,8,wallonie,1,4,-1.9021991216830847
Ittre,1460,Nivelles,brabant-wallon,8,wallonie,1,4,-1.8688155203534396
Genappe,1471,Nivelles,brabant-wallon,8,wallonie,1,4,-1.8039701322182824
Tubize,1480,Nivelles,brabant-wallon,8,wallonie,1,4,-2.4278419790594796
